location,size,rooms,price
urban,565,5,444500
urban,578,5,444500
urban,591,5,444500
urban,604,5,444500
urban,617,5,444500
urban,630,5,444500
urban,643,5,444500
urban,656,5,444500
urban,669,5,444500
urban,682,5,444500
urban,695,5,444500
urban,708,5,444500
urban,721,5,444500
urban,734,5,444500
urban,747,5,445000
urban,760,5,445000
urban,773,5,445000
urban,786,5,445000
urban,799,5,445000
urban,812,5,445000
urban,825,5,445000
urban,838,5,445000
urban,851,5,445000
urban,864,5,445000
urban,877,5,445000
urban,890,5,445000
urban,513,6,554500
urban,526,6,554500
urban,539,6,554500
urban,552,6,554500
urban,565,6,554500
urban,578,6,554500
urban,591,6,554500
urban,604,6,554500
urban,617,6,554500
urban,630,6,554500
urban,643,6,554500
urban,656,6,554500
urban,669,6,554500
urban,682,6,554500
urban,695,6,554500
urban,708,6,554500
urban,721,6,554500
urban,734,6,554500
urban,747,6,555000
urban,760,6,555000
urban,773,6,555000
urban,786,6,555000
urban,799,6,555000
urban,812,6,555000
urban,825,6,555000
urban,838,6,555000
urban,851,6,555000
urban,864,6,555000
urban,877,6,555000
urban,890,6,555000
urban,513,7,667500
urban,526,7,667500
urban,539,7,667500
urban,552,7,667500
urban,565,7,667500
urban,578,7,667500
urban,591,7,667500
urban,604,7,667500
urban,617,7,667500
urban,630,7,667500
urban,643,7,667500
urban,656,7,667500
urban,669,7,667500
urban,682,7,667500
urban,695,7,667500
urban,708,7,667500
urban,721,7,667500
urban,734,7,667500
urban,747,7,668000
urban,760,7,668000
urban,773,7,668000
urban,786,7,668000
urban,799,7,668000
urban,812,7,668000
urban,825,7,668000
urban,838,7,668000
urban,851,7,668000
urban,864,7,668000
urban,877,7,668000
urban,890,7,668000
urban,513,8,779500
urban,526,8,779500
urban,539,8,779500
urban,552,8,779500
urban,565,8,779500
urban,578,8,779500
urban,591,8,779500
urban,604,8,779500
urban,617,8,779500
urban,630,8,779500
urban,643,8,779500
urban,656,8,779500
urban,669,8,779500
urban,682,8,779500
urban,695,8,779500
urban,708,8,779500
urban,721,8,779500
urban,734,8,779500
urban,747,8,780000
urban,760,8,780000
urban,773,8,780000
urban,786,8,780000
urban,799,8,780000
urban,812,8,780000
urban,825,8,780000
urban,838,8,780000
urban,851,8,780000
urban,864,8,780000
urban,877,8,780000
urban,890,8,780000
urban,513,9,891500
urban,526,9,891500
urban,539,9,891500
urban,552,9,891500
urban,565,9,891500
urban,578,9,891500
urban,591,9,891500
urban,604,9,891500
urban,617,9,891500
urban,630,9,891500
urban,643,9,891500
urban,656,9,891500
urban,669,9,891500
urban,682,9,891500
urban,695,9,891500
urban,708,9,891500
urban,721,9,891500
urban,734,9,891500
urban,747,9,892000
urban,760,9,892000
urban,773,9,892000
urban,786,9,892000
urban,799,9,892000
urban,812,9,892000
urban,825,9,892000
urban,838,9,892000
urban,851,9,892000
urban,864,9,892000
urban,877,9,892000
urban,890,9,892000
suburban,513,1,111500
suburban,526,1,111500
suburban,539,1,111500
suburban,552,1,111500
suburban,565,1,111500
suburban,578,1,111500
suburban,591,1,111500
suburban,604,1,111500
suburban,617,1,111500
suburban,630,1,111500
suburban,643,1,111500
suburban,656,1,111500
suburban,669,1,111500
suburban,682,1,111500
suburban,695,1,111500
suburban,708,1,112000
suburban,721,1,112000
suburban,734,1,112000
suburban,747,1,112000
suburban,760,1,112000
suburban,773,1,112000
suburban,786,1,112000
suburban,799,1,112000
suburban,812,1,112000
suburban,825,1,112000
suburban,838,1,112000
suburban,851,1,112000
suburban,864,1,112000
suburban,877,1,112000
suburban,890,1,112000
suburban,513,2,151500
suburban,526,2,151500
suburban,539,2,151500
suburban,552,2,151500
suburban,565,2,151500
suburban,578,2,151500
suburban,591,2,151500
suburban,604,2,151500
suburban,617,2,151500
suburban,630,2,151500
suburban,643,2,151500
suburban,656,2,151500
suburban,669,2,151500
suburban,682,2,151500
suburban,695,2,151500
suburban,708,2,152000
suburban,721,2,152000
suburban,734,2,152000
suburban,747,2,152000
suburban,773,2,152000
suburban,786,2,152000
suburban,799,2,152000
suburban,812,2,152000
suburban,838,2,152000
suburban,851,2,152000
suburban,864,2,152000
suburban,877,2,152000
suburban,890,2,152000
suburban,903,2,152000
suburban,916,2,152000
suburban,513,3,214500
suburban,526,3,214500
suburban,539,3,214500
suburban,552,3,214500
suburban,565,3,214500
suburban,578,3,214500
suburban,591,3,214500
suburban,604,3,214500
suburban,617,3,214500
suburban,630,3,214500
suburban,643,3,214500
suburban,656,3,214500
suburban,669,3,214500
suburban,682,3,214500
suburban,695,3,214500
suburban,708,3,215000
suburban,721,3,215000
suburban,734,3,215000
suburban,747,3,215000
suburban,760,3,215000
suburban,773,3,215000
suburban,786,3,215000
suburban,799,3,215000
suburban,812,3,215000
suburban,825,3,215000
suburban,838,3,215000
suburban,851,3,215000
suburban,864,3,215000
suburban,877,3,215000
suburban,890,3,215000
suburban,513,4,299500
suburban,526,4,299500
suburban,539,4,299500
suburban,552,4,299500
suburban,565,4,299500
suburban,578,4,299500
suburban,591,4,299500
suburban,604,4,299500
suburban,617,4,299500
suburban,630,4,299500
suburban,643,4,299500
suburban,656,4,299500
suburban,669,4,299500
suburban,682,4,299500
suburban,695,4,299500
suburban,708,4,300000
suburban,721,4,300000
suburban,734,4,300000
suburban,747,4,300000
suburban,760,4,300000
suburban,773,4,300000
suburban,786,4,300000
suburban,799,4,300000
suburban,812,4,300000
suburban,825,4,300000
suburban,838,4,300000
suburban,851,4,300000
suburban,864,4,300000
suburban,877,4,300000
suburban,890,4,300000
suburban,513,5,397500
suburban,526,5,397500
suburban,539,5,397500
suburban,552,5,397500
suburban,565,5,397500
suburban,578,5,397500
suburban,591,5,397500
suburban,604,5,397500
suburban,617,5,397500
suburban,630,5,397500
suburban,643,5,397500
suburban,656,5,397500
suburban,669,5,397500
suburban,682,5,397500
suburban,695,5,397500
suburban,708,5,398000
suburban,721,5,398000
suburban,734,5,398000
suburban,747,5,398000
suburban,760,5,398000
suburban,773,5,398000
suburban,786,5,398000
suburban,799,5,398000
suburban,812,5,398000
suburban,825,5,398000
suburban,838,5,398000
suburban,851,5,398000
suburban,864,5,398000
suburban,877,5,398000
suburban,890,5,398000
suburban,513,6,497500
suburban,526,6,497500
suburban,539,6,497500
suburban,552,6,497500
suburban,565,6,497500
suburban,578,6,497500
suburban,591,6,497500
suburban,604,6,497500
suburban,617,6,497500
suburban,630,6,497500
suburban,643,6,497500
suburban,656,6,497500
suburban,669,6,497500
suburban,682,6,497500
suburban,695,6,497500
suburban,708,6,498000
suburban,721,6,498000
suburban,734,6,498000
suburban,747,6,498000
suburban,760,6,498000
suburban,773,6,498000
suburban,786,6,498000
suburban,799,6,498000
suburban,812,6,498000
suburban,825,6,498000
suburban,838,6,498000
suburban,851,6,498000
suburban,864,6,498000
suburban,877,6,498000
suburban,890,6,498000
suburban,513,7,597500
suburban,526,7,597500
suburban,539,7,597500
suburban,552,7,597500
suburban,565,7,597500
suburban,578,7,597500
suburban,591,7,597500
suburban,604,7,597500
suburban,617,7,597500
suburban,630,7,597500
suburban,643,7,597500
suburban,656,7,597500
suburban,669,7,597500
suburban,682,7,597500
suburban,695,7,597500
suburban,708,7,598000
suburban,721,7,598000
suburban,734,7,598000
suburban,747,7,598000
suburban,760,7,598000
suburban,773,7,598000
suburban,786,7,598000
suburban,799,7,598000
suburban,812,7,598000
suburban,825,7,598000
suburban,838,7,598000
suburban,851,7,598000
suburban,864,7,598000
suburban,877,7,598000
suburban,890,7,598000
suburban,513,8,697500
suburban,526,8,697500
suburban,539,8,697500
suburban,552,8,697500
suburban,565,8,697500
suburban,578,8,697500
suburban,591,8,697500
suburban,604,8,697500
suburban,617,8,697500
suburban,630,8,697500
suburban,643,8,697500
suburban,656,8,697500
suburban,669,8,697500
suburban,682,8,697500
suburban,695,8,697500
suburban,708,8,698000
suburban,721,8,698000
suburban,734,8,698000
suburban,747,8,698000
suburban,760,8,698000
suburban,773,8,698000
suburban,786,8,698000
suburban,799,8,698000
suburban,812,8,698000
suburban,825,8,698000
suburban,838,8,698000
suburban,851,8,698000
suburban,864,8,698000
suburban,877,8,698000
suburban,890,8,698000
suburban,513,9,797500
suburban,526,9,797500
suburban,539,9,797500
suburban,552,9,797500
suburban,565,9,797500
suburban,578,9,797500
suburban,591,9,797500
suburban,604,9,797500
suburban,617,9,797500
suburban,630,9,797500
suburban,643,9,797500
suburban,656,9,797500
suburban,669,9,797500
suburban,682,9,797500
suburban,695,9,797500
suburban,708,9,798000
suburban,721,9,798000
suburban,734,9,798000
suburban,747,9,798000
suburban,760,9,798000
suburban,773,9,798000
suburban,786,9,798000
suburban,799,9,798000
suburban,812,9,798000
suburban,825,9,798000
suburban,838,9,798000
suburban,851,9,798000
suburban,864,9,798000
suburban,877,9,798000
suburban,890,9,798000
rural,513,1,83500
rural,526,1,83500
rural,539,1,83500
rural,552,1,83500
rural,565,1,83500
rural,578,1,83500
rural,591,1,83500
rural,604,1,84000
rural,617,1,84000
rural,630,1,84000
rural,643,1,84000
rural,656,1,84000
rural,669,1,84000
rural,682,1,84000
rural,695,1,84000
rural,708,1,84000
rural,721,1,84000
rural,734,1,84000
rural,747,1,84000
rural,760,1,84000
rural,773,1,84000
rural,786,1,84000
rural,799,1,84000
rural,812,1,84000
rural,825,1,84000
rural,838,1,84000
rural,851,1,84000
rural,864,1,84000
rural,877,1,84000
rural,890,1,84000
rural,513,2,114500
rural,526,2,114500
rural,539,2,114500
rural,552,2,114500
rural,565,2,114500
rural,578,2,114500
rural,591,2,114500
rural,604,2,115000
rural,617,2,115000
rural,630,2,115000
rural,643,2,115000
rural,656,2,115000
rural,669,2,115000
rural,682,2,115000
rural,695,2,115000
rural,708,2,115000
rural,721,2,115000
rural,734,2,115000
rural,747,2,115000
rural,773,2,115000
rural,786,2,115000
rural,799,2,115000
rural,812,2,115000
rural,838,2,115000
rural,851,2,115000
rural,864,2,115000
rural,877,2,115000
rural,890,2,115000
rural,903,2,115000
rural,916,2,115000
rural,513,3,161500
rural,526,3,161500
rural,539,3,161500
rural,552,3,161500
rural,565,3,161500
rural,578,3,161500
rural,591,3,161500
rural,604,3,162000
rural,617,3,162000
rural,630,3,162000
rural,643,3,162000
rural,656,3,162000
rural,669,3,162000
rural,682,3,162000
rural,695,3,162000
rural,708,3,162000
rural,721,3,162000
rural,734,3,162000
rural,747,3,162000
rural,760,3,162000
rural,773,3,162000
rural,786,3,162000
rural,799,3,162000
rural,812,3,162000
rural,825,3,162000
rural,838,3,162000
rural,851,3,162000
rural,864,3,162000
rural,877,3,162000
rural,890,3,162000
rural,513,4,227500
rural,526,4,227500
rural,539,4,227500
rural,552,4,227500
rural,565,4,227500
rural,578,4,227500
rural,591,4,227500
rural,604,4,228000
rural,617,4,228000
rural,630,4,228000
rural,643,4,228000
rural,656,4,228000
rural,669,4,228000
rural,682,4,228000
rural,695,4,228000
rural,708,4,228000
rural,721,4,228000
rural,734,4,228000
rural,747,4,228000
rural,760,4,228000
rural,773,4,228000
rural,786,4,228000
rural,799,4,228000
rural,812,4,228000
rural,825,4,228000
rural,838,4,228000
rural,851,4,228000
rural,864,4,228000
rural,877,4,228000
rural,890,4,228000
rural,513,5,301500
rural,526,5,301500
rural,539,5,301500
rural,552,5,301500
rural,565,5,301500
rural,578,5,301500
rural,591,5,301500
rural,604,5,302000
rural,617,5,302000
rural,630,5,302000
rural,643,5,302000
rural,656,5,302000
rural,669,5,302000
rural,682,5,302000
rural,695,5,302000
rural,708,5,302000
rural,721,5,302000
rural,734,5,302000
rural,747,5,302000
rural,760,5,302000
rural,773,5,302000
rural,786,5,302000
rural,799,5,302000
rural,812,5,302000
rural,825,5,302000
rural,838,5,302000
rural,851,5,302000
rural,864,5,302000
rural,877,5,302000
rural,890,5,302000
rural,513,6,387500
rural,526,6,387500
rural,539,6,387500
rural,552,6,387500
rural,565,6,387500
rural,578,6,387500
rural,591,6,387500
rural,604,6,388000
rural,617,6,388000
rural,630,6,388000
rural,643,6,388000
rural,656,6,388000
rural,669,6,388000
rural,682,6,388000
rural,695,6,388000
rural,708,6,388000
rural,721,6,388000
rural,734,6,388000
rural,747,6,388000
rural,760,6,388000
rural,773,6,388000
rural,786,6,388000
rural,799,6,388000
rural,812,6,388000
rural,825,6,388000
rural,838,6,388000
rural,851,6,388000
rural,864,6,388000
rural,877,6,388000
rural,890,6,388000
rural,513,7,467500
rural,526,7,467500
rural,539,7,467500
rural,552,7,467500
rural,565,7,467500
rural,578,7,467500
rural,591,7,467500
rural,604,7,468000
rural,617,7,468000
rural,630,7,468000
rural,643,7,468000
rural,656,7,468000
rural,669,7,468000
rural,682,7,468000
rural,695,7,468000
rural,708,7,468000
rural,721,7,468000
rural,734,7,468000
rural,747,7,468000
rural,760,7,468000
rural,773,7,468000
rural,786,7,468000
rural,799,7,468000
rural,812,7,468000
rural,825,7,468000
rural,838,7,468000
rural,851,7,468000
rural,864,7,468000
rural,877,7,468000
rural,890,7,468000
rural,513,8,547500
rural,526,8,547500
rural,539,8,547500
rural,552,8,547500
rural,565,8,547500
rural,578,8,547500
rural,591,8,547500
rural,604,8,548000
rural,617,8,548000
rural,630,8,548000
rural,643,8,548000
rural,656,8,548000
rural,669,8,548000
rural,682,8,548000
rural,695,8,548000
rural,708,8,548000
rural,721,8,548000
rural,734,8,548000
rural,747,8,548000
rural,760,8,548000
rural,773,8,548000
rural,786,8,548000
rural,799,8,548000
rural,812,8,548000
rural,825,8,548000
rural,838,8,548000
rural,851,8,548000
rural,864,8,548000
rural,877,8,548000
rural,890,8,548000
rural,513,9,627500
rural,526,9,627500
rural,539,9,627500
rural,552,9,627500
rural,565,9,627500
rural,578,9,627500
rural,591,9,627500
rural,604,9,628000
rural,617,9,628000
rural,630,9,628000
rural,643,9,628000
rural,656,9,628000
rural,669,9,628000
rural,682,9,628000
rural,695,9,628000
rural,708,9,628000
rural,721,9,628000
rural,734,9,628000
rural,747,9,628000
rural,760,9,628000
rural,773,9,628000
rural,786,9,628000
rural,799,9,628000
rural,812,9,628000
rural,825,9,628000
rural,838,9,628000
rural,851,9,628000
rural,864,9,628000
rural,877,9,628000
rural,890,9,628000
coastal,513,1,217500
coastal,526,1,217500
coastal,539,1,217500
coastal,552,1,217500
coastal,565,1,217500
coastal,578,1,217500
coastal,591,1,217500
coastal,604,1,217500
coastal,617,1,217500
coastal,630,1,217500
coastal,643,1,217500
coastal,656,1,217500
coastal,669,1,217500
coastal,682,1,217500
coastal,695,1,217500
coastal,708,1,217500
coastal,721,1,217500
coastal,734,1,217500
coastal,747,1,217500
coastal,773,1,217500
coastal,786,1,217500
coastal,799,1,217500
coastal,812,1,217500
coastal,825,1,217500
coastal,838,1,218000
coastal,851,1,218000
coastal,864,1,218000
coastal,877,1,218000
coastal,890,1,218000
coastal,903,1,218000
coastal,513,2,264500
coastal,526,2,264500
coastal,539,2,264500
coastal,552,2,264500
coastal,565,2,264500
coastal,578,2,264500
coastal,591,2,264500
coastal,604,2,264500
coastal,617,2,264500
coastal,630,2,264500
coastal,643,2,264500
coastal,656,2,264500
coastal,669,2,264500
coastal,682,2,264500
coastal,695,2,264500
coastal,708,2,264500
coastal,721,2,264500
coastal,734,2,264500
coastal,747,2,264500
coastal,760,2,264500
coastal,773,2,264500
coastal,786,2,264500
coastal,799,2,264500
coastal,812,2,264500
coastal,838,2,265000
coastal,851,2,265000
coastal,864,2,265000
coastal,877,2,265000
coastal,890,2,265000
coastal,903,2,265000
coastal,513,3,347500
coastal,526,3,347500
coastal,539,3,347500
coastal,552,3,347500
coastal,565,3,347500
coastal,578,3,347500
coastal,591,3,347500
coastal,604,3,347500
coastal,617,3,347500
coastal,630,3,347500
coastal,643,3,347500
coastal,656,3,347500
coastal,669,3,347500
coastal,682,3,347500
coastal,695,3,347500
coastal,708,3,347500
coastal,721,3,347500
coastal,734,3,347500
coastal,747,3,347500
coastal,760,3,347500
coastal,773,3,347500
coastal,786,3,347500
coastal,799,3,347500
coastal,812,3,347500
coastal,825,3,347500
coastal,838,3,348000
coastal,851,3,348000
coastal,864,3,348000
coastal,877,3,348000
coastal,890,3,348000
coastal,513,4,461500
coastal,526,4,461500
coastal,539,4,461500
coastal,552,4,461500
coastal,565,4,461500
coastal,578,4,461500
coastal,591,4,461500
coastal,604,4,461500
coastal,617,4,461500
coastal,630,4,461500
coastal,643,4,461500
coastal,656,4,461500
coastal,669,4,461500
coastal,682,4,461500
coastal,695,4,461500
coastal,708,4,461500
coastal,721,4,461500
coastal,734,4,461500
coastal,747,4,461500
coastal,760,4,461500
coastal,773,4,461500
coastal,786,4,461500
coastal,799,4,461500
coastal,812,4,461500
coastal,825,4,461500
coastal,838,4,462000
coastal,851,4,462000
coastal,864,4,462000
coastal,877,4,462000
coastal,890,4,462000
coastal,513,5,567500
coastal,526,5,567500
coastal,539,5,567500
coastal,552,5,567500
coastal,565,5,567500
coastal,578,5,567500
coastal,591,5,567500
coastal,604,5,567500
coastal,617,5,567500
coastal,630,5,567500
coastal,643,5,567500
coastal,656,5,567500
coastal,669,5,567500
coastal,682,5,567500
coastal,695,5,567500
coastal,708,5,567500
coastal,721,5,567500
coastal,734,5,567500
coastal,747,5,567500
coastal,760,5,567500
coastal,773,5,567500
coastal,786,5,567500
coastal,799,5,567500
coastal,812,5,567500
coastal,825,5,567500
coastal,838,5,568000
coastal,851,5,568000
coastal,864,5,568000
coastal,877,5,568000
coastal,890,5,568000
coastal,513,6,694500
coastal,526,6,694500
coastal,539,6,694500
coastal,552,6,694500
coastal,565,6,694500
coastal,578,6,694500
coastal,591,6,694500
coastal,604,6,694500
coastal,617,6,694500
coastal,630,6,694500
